Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Availability_365,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Amenities,Host_id,Host_name,Street,Country,Country_code,Location_type,Longitude,Latitude,Is_location_exact
Cozy bedroom Sagrada Familia,Apartment,Private room,Real Bed,2,1125,flexible,2,1.0,2.0,0,20.0,509.4304235090752,20.0,0.0,1.0,1,100.0,"TV, Internet, Wifi, Kitchen, Pets allowed, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, Laptop friendly workspace",1929411,Rapha,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.17963,41.40087,True
Where Castles and Art meet the Sea,Apartment,Entire home/apt,Real Bed,5,1125,moderate,4,1.0,2.0,27,80.0,500.0,30.0,0.0,1.0,13,95.0,"TV, Cable TV, Internet, Wifi, Wheelchair accessible, Pool, Kitchen, Free parking on premises, Doorman, Elevator, Hot tub, Indoor fireplace, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",53059934,Jose,"Matosinhos, Porto, Portugal",Portugal,PT,Point,-8.68887,41.17544,False
A large sunny bedroom,Apartment,Private room,Real Bed,3,1125,moderate,1,1.0,1.0,0,35.0,509.4304235090752,94.07480119284294,0.0,1.0,2,90.0,"Wifi, Air conditioning, Kitchen, Heating, Washer, Dryer, Smoke detector, First aid kit, Essentials, Lock on bedroom door, Hangers, Hair dryer, Iron, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",53169195,Ehssan,"Bronx, NY, United States",United States,US,Point,-73.90052,40.85598,True
Rented Room,Apartment,Private room,Real Bed,1,1125,flexible,1,1.0,1.0,365,112.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Wifi, Kitchen, Doorman, Elevator, Buzzer/wireless intercom, Dryer, Essentials, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace",53957975,Jercilene,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.17933175178738,-22.941321220162784,False
Serene luxury in Harlem,Apartment,Private room,Real Bed,3,1125,moderate,1,1.0,1.0,339,80.0,100.0,50.0,0.0,1.0,10,100.0,"Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Washer, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, Bed linens, Extra pillows and blankets",54761069,Erika,"New York, NY, United States",United States,US,Point,-73.95211,40.80708,True
Great location in Barcelona,Apartment,Entire home/apt,Real Bed,200,1125,strict_14_with_grace_period,5,4.0,4.0,358,31.0,100.0,7.0,0.0,2.0,2,60.0,"Internet, Air conditioning, Kitchen, Smoking allowed, Elevator, Family/kid friendly, Washer, Fire extinguisher, Hangers",6151720,Marina E Mickael,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.19057,41.41254,True
Apartamento Mobiliado - Lgo do Machado,Apartment,Entire home/apt,Real Bed,30,365,strict_14_with_grace_period,4,1.0,2.0,316,149.0,1000.0,60.0,40.0,2.0,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, Hot water, Luggage dropoff allowed, Long term stays allowed",15152328,Marcelo,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.178886292069244,-22.931715899178695,False
Condomínio Praia Barra da Tijuca,Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,2.0,5.0,172,351.0,509.4304235090752,94.07480119284294,0.0,1.0,18,95.0,"TV, Cable TV, Wifi, Air conditioning, Wheelchair accessible, Pool, Kitchen, Free parking on premises, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, First aid kit, Hangers, Hair dryer, Iron, Hot water, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Stove, Long term stays allowed, Well-lit path to entrance, Other",54221119,Paula,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.32231287289854,-23.009702689174244,True
Nani La 'Ao (A Beautiful Day) Upstairs Suite,House,Entire home/apt,Real Bed,3,25,moderate,2,1.0,1.0,352,72.0,100.0,12.0,10.0,2.0,18,96.0,"Wifi, Kitchen, Free parking on premises, Breakfast, Pets live on this property, Dog(s), Cat(s), Other pet(s), Essentials, Shampoo, Hair dryer, Iron, Laptop friendly workspace, Private entrance, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware",1121661,Sherri,"Keaau, HI, United States",United States,US,Point,-155.02503,19.56081,True
"Asia House, Garden Room, Princevile",Guest suite,Private room,Real Bed,3,21,strict_14_with_grace_period,2,1.0,1.0,276,139.0,200.0,85.0,35.0,2.0,167,93.0,"TV, Cable TV, Wifi, Pool, Kitchen, Free parking on premises, Hot tub, Suitable for events, Washer, Dryer, Smoke detector, First aid kit, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Private entrance, Pack ’n Play/travel crib, Hot water, Luggage dropoff allowed, Host greets you",5884464,Coral,"Princeville, HI, United States",United States,US,Point,-159.48653,22.22739,True
Sala e quarto em copacabana com cozinha americana,Apartment,Entire home/apt,Real Bed,4,1125,flexible,3,1.0,1.0,0,298.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Smoking allowed, Pets allowed, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Laptop friendly workspace, translation missing: en.hosting_amenity_50",53729453,Tamara,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.177948896979196,-22.963149303022142,True
Jubilee By The Sea (Ocean Views),House,Entire home/apt,Real Bed,2,90,strict_14_with_grace_period,11,4.0,6.0,267,325.0,500.0,250.0,25.0,8.0,45,98.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Free parking on premises, Free street parking, Family/kid friendly, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private entrance, Pack ’n Play/travel crib, Hot water, Other",54391530,Nate,"Kailua-Kona, HI, United States",United States,US,Point,-155.97349,19.61318,False
Bondi Beach Dreaming 3-Bed House,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,8,3.0,6.0,0,399.0,1000.0,185.0,35.0,6.0,139,96.0,"TV, Internet, Wifi, Kitchen, Free parking on premises, Paid parking off premises, Smoking allowed, Pets allowed, Indoor fireplace, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Private entrance, Bathtub, High chair, Fireplace guards, Pack ’n Play/travel crib, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, BBQ grill, Patio or balcony, Garden or backyard, Luggage dropoff allowed, Long term stays allowed",2509326,Cat,"Bondi Beach, NSW, Australia",Australia,AU,Point,151.27448,-33.8872,False
Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Private room,Real Bed,1,1125,moderate,2,1.0,1.0,339,487.0,0.0,94.07480119284294,0.0,1.0,162,96.0,"TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Pets live on this property, Cat(s), Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Children’s books and toys, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Garden or backyard, Luggage dropoff allowed, Long term stays allowed, Cleaning before checkout, Host greets you",52491634,Ricky,"Hong Kong, New Territories, Hong Kong",Hong Kong,HK,Point,113.92823,22.27671,False
Lovely ap at Leblon beach,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,5,3.0,3.0,0,298.0,1000.0,160.0,0.0,1.0,1,100.0,"TV, Internet, Wifi, Kitchen, Buzzer/wireless intercom, Family/kid friendly, Essentials, Hangers, Laptop friendly workspace",54984412,Sonia,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.22120070184858,-22.984162872106157,False
Room For Erasmus,Apartment,Private room,Real Bed,1,1125,flexible,2,2.0,2.0,365,37.0,509.4304235090752,94.07480119284294,0.0,1.0,1,95.0,"TV, Cable TV, Internet, Wifi, Kitchen, Free parking on premises, Smoking allowed, Doorman, Elevator, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Hot water, Host greets you",53288729,Kemal,"Şişli, İstanbul, Turkey",Turkey,TR,Point,29.06064,40.98837,False
"Cozy, dreamy Mile End apartment",Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,30.0,509.4304235090752,20.0,15.0,1.0,0,95.0,"TV, Wifi, Kitchen, Pets live on this property, Cat(s), Heating, Washer, Dryer, Smoke detector, Essentials, Hangers, Hair dryer, Laptop friendly workspace",5173928,Uma,"Montréal, Québec, Canada",Canada,CA,Point,-73.60137,45.52517,True
"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,2.0,365,499.0,509.4304235090752,99.0,0.0,1.0,1,100.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Hot tub, Indoor fireplace, Buzzer/wireless intercom, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",12057949,Holly,"Lahaina, HI, United States",United States,US,Point,-156.68012,20.96996,True
"Kailua-Kona, Kona Coast II 2b condo",Apartment,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,6,2.0,3.0,196,135.0,200.0,94.07480119284294,0.0,1.0,1,100.0,"Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Family/kid friendly, Washer, Dryer",3393610,Daniel,"Kailua-Kona, HI, United States",United States,US,Point,-155.96445,19.5702,True
Cheerful new renovated central apt,Apartment,Entire home/apt,Real Bed,3,1125,moderate,8,3.0,4.0,326,264.0,0.0,0.0,36.0,4.0,77,94.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Heating, Family/kid friendly, Suitable for events, Washer, First aid kit, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Crib, Hot water, Bed linens, Extra pillows and blankets, Long term stays allowed, Step-free access, Host greets you",22766460,Aybike,"Beyoğlu, İstanbul, Turkey",Turkey,TR,Point,28.97477,41.03735,False
Heroísmo IV,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2,0.0,1.0,309,29.0,0.0,10.0,0.0,2.0,31,89.0,"TV, Cable TV, Internet, Wifi, Kitchen, Free street parking, Heating, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Room-darkening shades, Hot water, Bed linens, Extra pillows and blankets, Microwave, Refrigerator, Dishes and silverware, Cooking basics, Stove, Single level home, Long term stays allowed, Host greets you, Handheld shower head",9320470,Apartments2Enjoy,"Porto, Porto, Portugal",Portugal,PT,Point,-8.59275,41.1462,True
Panoramic Ocean View Studio in  Quiet Setting,Guesthouse,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,323,120.0,200.0,100.0,15.0,1.0,114,95.0,"TV, Cable TV, Internet, Wifi, Kitchen, Free parking on premises, Pets live on this property, Free street parking, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self check-in, Keypad, Hot water, Luggage dropoff allowed, Long term stays allowed",308899,Andrei,"Honolulu, HI, United States",United States,US,Point,-157.78578,21.29561,True
FloresRooms 3T,Apartment,Entire home/apt,Real Bed,2,1124,moderate,2,0.0,1.0,278,31.0,200.0,10.0,0.0,1.0,225,96.0,"TV, Cable TV, Internet, Wifi, Elevator, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self check-in, Lockbox, Hot water, Bed linens, Extra pillows and blankets",51724179,Andreia,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61205,41.14404,False
luxury apartment in istanbul taxsim,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1.0,3.0,317,269.0,0.0,60.0,42.0,3.0,135,91.0,"Cable TV, Internet, Wifi, Air conditioning, Kitchen, Doorman, Elevator, Heating, Family/kid friendly, Fire extinguisher, Essentials, Shampoo",5386341,Osman,"Istanbul, Istanbul Province, Turkey",Turkey,TR,Point,28.98538,41.03326,True
~Ao Lele~ Flying Cloud,Treehouse,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,2,1.0,1.0,165,185.0,300.0,80.0,0.0,2.0,103,99.0,"Internet, Wifi, Kitchen, Free parking on premises, Breakfast, Indoor fireplace, Heating, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Garden or backyard, Host greets you",52785887,Mike,"Volcano, HI, United States",United States,US,Point,-155.21763,19.42151,False
Quarto Taquara - Jacarepaguá,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,365,101.0,128.0,120.0,20.0,1.0,1,100.0,"Cable TV, Wifi, Kitchen, Smoking allowed, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, Lock on bedroom door, 24-hour check-in, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50",3026612,Luana,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.37035220190699,-22.91636184358952,True
Sun filled comfortable apartment,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,0,85.0,509.4304235090752,15.0,0.0,1.0,2,100.0,"TV, Internet, Wifi, Kitchen, Buzzer/wireless intercom, Smoke detector, Essentials, Shampoo, Hangers, Iron",23405752,Harry,"Rushcutters Bay, NSW, Australia",Australia,AU,Point,151.22559,-33.87604,True
"Kadiköy, Moda, close to transports",Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,137.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Internet, Wifi, Kitchen, Smoking allowed, Buzzer/wireless intercom, Heating, Washer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer",25679882,Bertille,"Kadıköy, İstanbul, Turkey",Turkey,TR,Point,29.02588,40.98825,True
Suíte em local tranquilo e seguro,House,Private room,Real Bed,1,1125,moderate,1,1.0,1.0,357,101.0,400.0,100.0,50.0,1.0,0,95.0,"Cable TV, Internet, Wifi, Pool, Kitchen, Free parking on premises, Smoking allowed, Buzzer/wireless intercom, Lock on bedroom door, Iron, Laptop friendly workspace",53127432,Renato,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.33496705036137,-22.948365490450556,True
BBC OPORTO 4X2,Apartment,Entire home/apt,Real Bed,3,1125,flexible,8,4.0,8.0,264,100.0,509.4304235090752,94.07480119284294,0.0,1.0,71,88.0,"TV, Cable TV, Internet, Wifi, Kitchen, Elevator, Heating, Family/kid friendly, Washer, Essentials, Shampoo",3104922,Cristina,"Porto, Porto District, Portugal",Portugal,PT,Point,-8.60069,41.16246,True
位於深水埗地鐵站的溫馨公寓,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,2.0,365,353.0,0.0,50.0,50.0,1.0,18,71.0,"TV, Air conditioning, Kitchen, Heating, Essentials, Shampoo, 24-hour check-in, Hair dryer, Hot water",16313394,Aaron,"Sham Shui Po, Kowloon, Hong Kong",Hong Kong,HK,Point,114.16262,22.32733,False
(1) Beach Guest House - Go Make A Trip,Bed and breakfast,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,309,112.0,0.0,0.0,0.0,2.0,11,98.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Free parking on premises, Family/kid friendly, Essentials, Shampoo, Hair dryer, Iron",4765935,Rafael,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.353970672578306,-23.008991691724663,False
Ribeira Smart Flat,Apartment,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,6,3.0,3.0,214,80.0,700.0,20.0,10.0,2.0,132,92.0,"Internet, Wifi, Kitchen, Paid parking off premises, Buzzer/wireless intercom, Family/kid friendly, Washer, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Host greets you",54662715,Mathieu,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61602,41.14295,False
March 2019 availability! Oceanview on Sugar Beach!,Condominium,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,4,1.0,3.0,228,229.0,509.4304235090752,95.0,0.0,1.0,19,94.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Elevator, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Hot water",5738969,Gage,"Kihei, HI, United States",United States,US,Point,-156.46881,20.78621,True
Charming Spacious Park Slope Studio,Guest suite,Entire home/apt,Real Bed,3,1125,moderate,3,0.0,0.0,204,135.0,200.0,50.0,25.0,2.0,115,98.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Free street parking, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Garden or backyard, Luggage dropoff allowed, Long term stays allowed",54539364,Ildiko,"Brooklyn, NY, United States",United States,US,Point,-73.98307,40.6651,True
